                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                  1.432,                0.58803,                 1.0735,                 1.5088,                 0.4544,                 1.0535,                0.96623,                0.97455,                0.99013,                0.59905,                 1.2346,                0.51599,                0.95367,                 1.2829,                0.35539,                0.95928,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.4084,                0.57117,                 1.0964,                 1.4614,                0.41456,                 1.0822,                0.96846,                0.97413,                0.99084,                 0.5952,                 1.2521,                0.52059,                0.96095,                 1.3016,                0.35871,                0.96762,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.3858,                0.56009,                 1.0899,                 1.4393,                0.40193,                 1.0745,                0.96902,                0.97365,                0.99056,                0.60227,                  1.236,                0.51939,                0.95504,                 1.2849,                0.35785,                0.96123,               0.000218,               0.000218,               0.000218
                     93,                 1.3738,                0.55753,                 1.1062,                 1.4256,                 0.4007,                 1.0929,                0.97145,                0.97335,                0.99134,                0.60155,                 1.2351,                0.51154,                0.95289,                 1.2806,                0.35217,                0.95823,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.3763,                 0.5533,                 1.0856,                 1.4314,                0.39079,                 1.0709,                0.96575,                0.98002,                0.99075,                0.60345,                 1.2324,                0.51103,                0.95161,                 1.2776,                 0.3501,                0.95637,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.3935,                0.55622,                 1.1138,                 1.4413,                 0.4018,                 1.0911,                0.96727,                0.97591,                0.99078,                0.60207,                 1.2397,                0.51107,                0.95402,                 1.2819,                0.35011,                0.95782,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.3951,                0.55664,                 1.1145,                 1.4418,                0.40211,                 1.0938,                0.96884,                0.97434,                0.99078,                0.60284,                 1.2343,                0.51091,                0.95369,                 1.2772,                0.35214,                0.95714,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.3813,                0.54902,                 1.1045,                 1.4387,                0.39597,                   1.09,                0.96713,                0.97876,                0.99087,                0.60527,                 1.2285,                0.50442,                0.95067,                  1.273,                0.35055,                0.95531,               0.000119,               0.000119,               0.000119
                     98,                 1.3653,                0.54299,                 1.0856,                 1.4226,                 0.3932,                 1.0709,                 0.9722,                0.97073,                0.99109,                0.60493,                 1.2262,                0.50612,                0.95082,                 1.2711,                0.34808,                0.95532,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                  1.377,                0.54554,                 1.0901,                  1.435,                0.38977,                 1.0747,                 0.9707,                0.97554,                0.99122,                0.60612,                  1.222,                0.50219,                0.94915,                 1.2652,                0.34662,                0.95309,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                  1.375,                0.54508,                 1.1094,                 1.4246,                0.39662,                    1.1,                0.97449,                0.97245,                0.99095,                0.60657,                 1.2207,                0.50364,                0.94872,                 1.2612,                0.34997,                 0.9524,               5.96e-05,               5.96e-05,               5.96e-05
